date;vac_statut;nb_PCR;nb_PCR_sympt;nb_PCR+;nb_PCR+_sympt;HC;HC_PCR+;SC;SC_PCR+;DC;DC_PCR+;effectif J-7
2021-06-01;Non-vaccinés;164956;19893;6765;2563;313;214;77;60;30;25;43327162
2021-06-02;Non-vaccinés;161677;17565;6268;2272;298;221;64;51;37;21;42917437
2021-06-07;Non-vaccinés;176235;16700;6327;2227;269;191;69;60;28;21;41287210
2021-06-16;Non-vaccinés;120647;8858;2270;685;135;88;39;26;19;11;38012292
2021-06-17;Non-vaccinés;133104;8359;2209;657;123;77;40;26;30;21;37615420
2021-06-20;Non-vaccinés;23739;1405;360;98;89;62;12;9;17;13;36848625
2021-06-24;Non-vaccinés;122181;7304;1731;564;98;75;26;16;15;11;35687945
2021-06-25;Non-vaccinés;145724;7194;1801;477;84;56;20;17;8;5;35371540
2021-06-28;Non-vaccinés;146003;9057;2182;743;107;72;22;13;8;4;34885653
2021-06-29;Non-vaccinés;120946;8809;1846;619;98;64;19;14;9;5;34666110
2021-07-04;Non-vaccinés;27910;1432;545;172;49;35;12;8;2;2;33769322
2021-07-09;Non-vaccinés;176119;9308;3510;1202;77;60;26;19;7;3;32808898
2021-07-13;Non-vaccinés;157164;13027;5660;2404;118;89;25;20;10;7;32264554
2021-07-14;Non-vaccinés;36438;2476;1279;498;88;58;23;22;7;5;32060124
2021-07-19;Non-vaccinés;177540;20158;14107;6910;183;131;46;36;11;6;31250591
2021-07-21;Non-vaccinés;166662;19191;13810;6677;208;152;60;48;9;6;30794117
2021-07-23;Non-vaccinés;231850;17584;14401;6030;239;169;64;51;15;10;30085383
2021-07-25;Non-vaccinés;32185;2953;2447;990;268;190;69;59;15;12;29722729
2021-07-27;Non-vaccinés;171531;22322;17591;8481;327;215;79;63;27;19;29077066
2021-07-30;Non-vaccinés;236414;17565;16152;6906;392;271;122;92;22;16;27827670
2021-08-03;Non-vaccinés;160355;20617;18332;8566;517;356;125;91;41;34;26633974
2021-08-05;Non-vaccinés;170031;17673;16464;7408;480;325;149;112;44;28;25704726
2021-08-06;Non-vaccinés;203556;17010;16633;7241;443;296;166;118;42;26;25254299
2021-06-06;Primo dose efficace;4096;249;45;10;8;7;5;3;5;5;9673034
2021-06-09;Primo dose efficace;25273;1478;189;47;8;7;4;3;1;1;10204089
2021-06-13;Primo dose efficace;4153;225;24;5;6;6;4;2;3;2;11179218
2021-06-15;Primo dose efficace;23760;1386;134;30;9;9;2;1;3;3;11115556
2021-06-16;Primo dose efficace;26040;1364;148;39;12;9;4;4;1;1;11239143
2021-06-18;Primo dose efficace;33529;1270;156;42;7;4;1;1;3;2;11444395
2021-06-22;Primo dose efficace;22744;1471;122;34;8;5;2;1;2;1;11699675
2021-06-24;Primo dose efficace;28306;1381;118;40;4;3;0;0;1;1;11890123
2021-06-29;Primo dose efficace;23909;1806;156;61;6;4;0;0;0;0;12003376
2021-06-30;Primo dose efficace;26760;1784;186;74;8;8;1;1;2;2;11987979
2021-07-01;Primo dose efficace;30000;1674;205;73;5;4;1;1;1;1;11947915
2021-07-02;Primo dose efficace;33259;1558;227;66;1;1;3;2;4;3;11856171
2021-07-03;Primo dose efficace;18954;809;133;47;3;2;1;1;1;1;11914619
2021-07-05;Primo dose efficace;31331;2123;346;151;4;3;1;1;3;3;11751969
2021-07-06;Primo dose efficace;24835;2130;294;122;2;1;1;1;1;1;11489389
2021-07-07;Primo dose efficace;26505;2020;382;151;5;4;0;0;1;1;11310569
2021-07-10;Primo dose efficace;17807;914;217;72;4;3;0;0;0;0;10821842
2021-07-13;Primo dose efficace;26210;2269;606;268;7;5;2;2;0;0;10124858
2021-07-16;Primo dose efficace;28756;2228;796;346;5;4;0;0;2;1;9244363
2021-07-17;Primo dose efficace;14888;1006;479;214;3;3;1;1;0;0;9060693
2021-07-23;Primo dose efficace;34312;2064;1253;504;10;9;3;2;0;0;7453268
2021-07-24;Primo dose efficace;15739;985;592;229;4;4;0;0;1;1;7285343
2021-07-29;Primo dose efficace;22519;1605;949;423;11;10;3;2;0;0;6144360
2021-07-30;Primo dose efficace;30516;1510;959;359;14;9;4;3;1;1;5838417
2021-08-01;Primo dose efficace;3309;219;142;54;10;10;4;3;0;0;5703040
2021-08-03;Primo dose efficace;17822;1752;978;452;12;10;5;5;3;3;5020748
2021-06-02;Primo dose récente;12029;948;363;151;16;14;5;5;0;0;5603355
2021-06-06;Primo dose récente;1601;115;32;15;2;1;1;1;0;0;5315448
2021-06-07;Primo dose récente;12295;947;341;174;6;6;2;2;0;0;5452747
2021-06-08;Primo dose récente;10466;841;209;101;8;7;0;0;0;0;5492026
2021-06-09;Primo dose récente;11185;689;187;81;9;5;1;1;0;0;5449995
2021-06-10;Primo dose récente;12845;696;179;71;11;5;3;2;0;0;5436993
2021-06-11;Primo dose récente;13204;568;164;55;5;4;1;1;0;0;5381802
2021-06-13;Primo dose récente;1523;80;27;13;4;1;1;0;0;0;5018338
2021-06-17;Primo dose récente;11669;502;114;46;4;3;1;1;0;0;5254393
2021-06-18;Primo dose récente;12298;462;104;35;3;2;3;1;0;0;5179977
2021-06-23;Primo dose récente;7298;419;64;28;2;1;0;0;0;0;4817145
2021-06-26;Primo dose récente;4860;193;41;9;0;0;1;0;0;0;4363548
2021-06-27;Primo dose récente;1120;64;11;4;2;2;0;0;0;0;4155394
2021-07-03;Primo dose récente;4955;154;65;22;1;1;1;1;0;0;3375939
2021-07-04;Primo dose récente;1215;49;18;4;0;0;0;0;0;0;3171547
2021-07-10;Primo dose récente;5204;176;100;41;3;2;1;1;0;0;2673251
2021-07-11;Primo dose récente;1200;74;34;13;0;0;0;0;0;0;2525490
2021-07-16;Primo dose récente;10664;638;400;170;2;2;1;1;0;0;2542461
2021-07-17;Primo dose récente;5885;357;270;127;1;1;1;1;0;0;2478370
2021-07-21;Primo dose récente;12619;1326;1015;542;4;4;0;0;0;0;2609586
2021-07-23;Primo dose récente;24948;1395;1279;590;7;5;0;0;1;1;2895242
2021-07-28;Primo dose récente;17454;1875;1588;820;19;19;1;1;0;0;3536403
2021-07-29;Primo dose récente;24824;1796;1558;771;12;12;6;5;0;0;3758848
2021-06-03;Vaccination complète;27254;1362;317;69;22;16;9;5;2;2;10432409
2021-06-12;Vaccination complète;19861;665;84;16;6;5;3;3;2;2;12051347
2021-06-15;Vaccination complète;28997;1186;144;22;7;5;1;1;2;2;12605242
2021-06-18;Vaccination complète;33834;1130;184;32;10;9;1;1;3;2;13550097
2021-06-19;Vaccination complète;22442;677;79;11;11;8;1;1;3;2;13772648
2021-06-21;Vaccination complète;39807;1349;166;38;14;12;3;2;3;3;14129610
2021-06-22;Vaccination complète;30495;1286;136;27;13;8;3;3;1;0;14472284
2021-06-24;Vaccination complète;26475;1308;130;32;13;8;0;0;3;3;15117740
2021-06-25;Vaccination complète;35438;1362;178;37;9;6;3;2;1;0;15529153
2021-06-26;Vaccination complète;24516;827;95;17;7;5;0;0;1;1;15772254
2021-06-27;Vaccination complète;7072;363;23;5;10;8;1;1;2;2;15857845
