date;vac_statut;nb_PCR;nb_PCR_sympt;nb_PCR+;nb_PCR+_sympt;HC;HC_PCR+;SC;SC_PCR+;DC;DC_PCR+;effectif J-7
2021-05-31;Non-vaccinés;165319;19780;9300;3739;318;219;88;62;29;16;43761090
2021-06-02;Non-vaccinés;137559;15017;6052;2226;292;213;63;50;37;21;42955992
2021-06-06;Non-vaccinés;21672;1784;761;255;150;96;51;37;25;19;41682034
2021-06-12;Non-vaccinés;76101;4503;1810;498;155;107;47;38;15;9;39291337
2021-06-16;Non-vaccinés;110733;8064;2209;678;132;85;39;26;19;11;38061240
2021-06-24;Non-vaccinés;116004;6873;1705;563;95;73;26;16;15;11;35748591
2021-06-25;Non-vaccinés;138647;6788;1754;477;83;55;20;17;9;6;35434554
2021-06-30;Non-vaccinés;121575;7770;2007;682;80;58;20;11;8;7;34507354
2021-07-01;Non-vaccinés;134214;7551;1931;651;70;48;15;9;12;9;34271504
2021-07-03;Non-vaccinés;95543;3734;1257;390;53;40;15;12;16;14;33901201
2021-07-05;Non-vaccinés;167377;9589;3301;1247;91;61;20;13;8;4;33697582
2021-07-12;Non-vaccinés;161767;12905;5591;2456;95;66;30;23;2;1;32554825
2021-07-15;Non-vaccinés;177093;15527;8404;3838;112;77;34;25;9;9;31943139
2021-07-18;Non-vaccinés;28804;2440;1633;729;115;87;33;24;3;3;31524212
2021-07-19;Non-vaccinés;175314;19858;14048;6896;175;123;45;35;12;7;31363386
2021-07-21;Non-vaccinés;164355;18951;13743;6651;203;144;57;42;9;6;30909466
2021-05-31;Primo dose récente;801;213;358;186;11;10;2;1;0;0;5511364
2021-06-01;Primo dose récente;621;172;267;137;11;9;3;2;0;0;5586723
2021-06-08;Primo dose récente;493;85;127;67;4;4;0;0;0;0;5486056
2021-06-10;Primo dose récente;531;77;111;57;8;5;2;1;0;0;5429053
2021-06-14;Primo dose récente;588;86;115;60;5;3;2;2;0;0;5174450
2021-06-15;Primo dose récente;478;36;73;25;6;4;0;0;0;0;5284752
2021-06-16;Primo dose récente;444;41;71;28;2;1;0;0;0;0;5265917
2021-06-18;Primo dose récente;638;44;57;23;3;2;3;1;0;0;5168054
2021-06-21;Primo dose récente;676;52;62;31;1;1;0;0;0;0;4977335
2021-06-25;Primo dose récente;964;43;36;14;0;0;0;0;0;0;4548881
2021-06-26;Primo dose récente;652;19;24;6;0;0;1;0;0;0;4345761
2021-06-27;Primo dose récente;187;13;8;4;2;2;0;0;0;0;4137522
2021-06-29;Primo dose récente;951;59;36;17;2;2;0;0;0;0;4045827
2021-07-03;Primo dose récente;1254;57;41;14;1;1;0;0;0;0;3350350
2021-07-07;Primo dose récente;2107;126;107;48;1;1;0;0;0;0;3004062
2021-07-08;Primo dose récente;2634;146;108;54;1;1;0;0;0;0;2904534
2021-07-09;Primo dose récente;3117;133;108;52;0;0;1;1;0;0;2800236
2021-07-11;Primo dose récente;481;23;24;10;0;0;0;0;0;0;2491798
2021-07-18;Primo dose récente;887;91;77;38;2;2;0;0;0;0;2367841
2021-06-08;Primo dose efficace;50306;4173;332;87;24;22;3;3;2;2;10018389
2021-06-09;Primo dose efficace;50795;3492;339;78;19;13;5;4;1;1;10240673
2021-06-13;Primo dose efficace;6995;375;51;8;11;9;4;2;3;2;11216301
2021-06-14;Primo dose efficace;52258;3138;294;81;18;14;2;2;2;2;11161785
2021-06-19;Primo dose efficace;28277;1002;141;25;11;9;2;2;4;3;11661391
2021-06-22;Primo dose efficace;33698;2401;178;49;15;9;2;1;2;1;11739242
2021-06-25;Primo dose efficace;44166;2119;192;36;8;7;2;1;1;1;11977142
2021-06-30;Primo dose efficace;35451;2442;235;91;9;9;2;2;2;2;12024943
2021-07-01;Primo dose efficace;39665;2251;253;78;5;4;1;1;1;1;11984899
2021-07-04;Primo dose efficace;5788;320;54;16;5;5;0;0;2;1;12098474
2021-07-05;Primo dose efficace;39357;2696;411;171;6;5;1;1;3;3;11788641
2021-07-06;Primo dose efficace;30823;2651;341;134;2;1;2;2;1;1;11524608
2021-07-11;Primo dose efficace;5135;334;93;42;3;3;0;0;1;1;10892284
2021-07-14;Primo dose efficace;6555;516;194;77;2;2;0;0;0;0;9857467
2021-07-16;Primo dose efficace;33242;2672;898;385;7;6;0;0;2;1;9272595
2021-07-19;Primo dose efficace;28416;3321;1521;777;7;7;7;6;0;0;8703199
2021-07-20;Primo dose efficace;25498;2879;1385;631;5;3;1;1;1;1;8355253
2021-07-21;Primo dose efficace;28150;2963;1497;695;8;5;2;2;0;0;8067049
2021-07-22;Primo dose efficace;33219;2468;1370;589;9;7;2;2;0;0;7808082
2021-07-24;Primo dose efficace;17422;1091;702;271;8;7;1;1;1;1;7300673
2021-06-02;Vaccination complète;29010;1452;320;73;43;36;5;3;3;3;10186911
2021-06-03;Vaccination complète;28552;1432;333;88;23;17;8;5;2;2;10363880
2021-06-05;Vaccination complète;20135;740;174;38;13;9;7;5;3;3;10679731
2021-06-06;Vaccination complète;5544;334;46;7;11;6;4;4;3;3;10706436
2021-06-07;Vaccination complète;39146;1594;358;100;24;19;3;2;3;3;10768156
2021-06-09;Vaccination complète;27464;1268;204;44;17;14;3;2;4;3;11226470
2021-06-12;Vaccination complète;20547;686;89;20;5;3;3;3;2;2;11977258
2021-06-13;Vaccination complète;5859;316;33;7;6;2;5;3;1;0;12021278
2021-06-14;Vaccination complète;40482;1354;229;63;18;13;2;2;2;2;12243588
2021-06-21;Vaccination complète;41649;1391;166;36;13;10;3;2;3;3;14050488
2021-06-22;Vaccination complète;31852;1316;132;24;11;8;3;3;1;0;14392374
2021-06-23;Vaccination complète;29437;1310;135;32;11;9;5;5;3;2;14709055
2021-06-24;Vaccination complète;28190;1350;131;36;13;8;0;0;3;3;15036046
2021-06-25;Vaccination complète;37551;1408;190;44;10;6;3;2;1;0;15446664
2021-06-27;Vaccination complète;7240;365;18;2;8;6;1;1;2;2;15774753
2021-07-01;Vaccination complète;33972;1922;218;59;6;4;4;3;3;1;17410267
2021-07-07;Vaccination complète;43308;2658;313;114;6;5;1;1;0;0;19734241
2021-07-10;Vaccination complète;35651;1489;222;73;10;6;2;0;1;1;21148358
2021-07-12;Vaccination complète;58759;4147;671;239;6;4;4;4;3;3;21789471
2021-07-13;Vaccination complète;58004;3778;677;220;20;18;2;2;1;1;22333531
2021-07-15;Vaccination complète;58987;4503;937;358;19;16;3;3;1;1;23348241
2021-07-17;Vaccination complète;40559;2146;615;212;13;11;2;1;2;2;24294412
2021-07-18;Vaccination complète;12289;783;204;73;15;15;3;3;0;0;24443627
2021-07-20;Vaccination complète;59621;5629;1514;560;21;18;1;1;0;0;25385889
2021-06-02;Ensemble;225364;21574;7181;2577;376;283;82;62;44;28;67407241
2021-06-06;Ensemble;35410;2687;912;292;175;113;61;44;33;27;67407241
2021-06-07;Ensemble;258295;21130;7369;2621;310;226;79;68;34;26;67407241
2021-06-09;Ensemble;199223;15881;4274;1442;247;182;52;35;40;30;67407241
2021-06-10;Ensemble;211508;15256;3940;1311;217;151;58;42;36;29;67407241
2021-06-11;Ensemble;235920;14066;4253;1157;235;165;51;37;38;28;67407241
2021-06-17;Ensemble;201704;11176;2593;772;152;101;47;32;34;25;67407241
2021-06-22;Ensemble;171607;11454;2111;627;135;94;32;21;17;11;67407241
2021-06-23;Ensemble;169802;10632;2024;586;116;77;28;23;26;20;67407241
2021-06-27;Ensemble;36363;2061;401;113;79;58;18;16;23;17;67407241
2021-06-28;Ensemble;227920;13232;2708;926;125;83;24;15;10;6;67407241
2021-06-29;Ensemble;186027;12839;2193;748;112;72;20;14;11;6;67407241
2021-07-01;Ensemble;209334;11796;2461;814;81;56;20;13;16;11;67407241
2021-07-04;Ensemble;42458;2172;646;201;61;45;13;8;5;4;67407241
2021-07-07;Ensemble;215488;14579;3925;1475;91;65;24;13;16;9;67407241
2021-07-08;Ensemble;235932;14846;3840;1464;94;74;20;16;13;9;67407241
2021-07-09;Ensemble;270860;14177;4482;1539;102;77;28;21;11;6;67407241
2021-07-10;Ensemble;160703;7412;2373;837;81;58;27;21;12;9;67407241
2021-07-11;Ensemble;44315;2579;925;306;80;59;19;15;10;7;67407241
2021-07-12;Ensemble;257673;20361;7177;3110;109;77;34;27;6;4;67407241
2021-07-17;Ensemble;163303;10467;5954;2451;150;107;38;32;11;5;67407241
2021-07-20;Ensemble;247955;27919;16393;7695;189;129;46;35;7;6;67407241
2021-07-23;Ensemble;357199;25940;18529;7721;258;183;66;49;17;11;67407241
